"year","age","schooling","income","party","philosophy","legal","gender"
1984,22,12,"$25000 or more","Not str democrat","Moderate",0,"Male"
1984,22,16,"Lt $1000","Ind,near rep","Liberal",0,"Female"
1984,24,15,"$5000 to 5999","Ind,near rep","Moderate",0,"Male"
1984,29,18,"$15000 - 19999","Ind,near dem","Slightly liberal",1,"Male"
1984,21,14,"$3000 to 3999","Ind,near rep","Moderate",0,"Male"
1984,53,13,"$5000 to 5999","Strong republican","Moderate",0,"Male"
1984,38,11,"Lt $1000","Not str democrat","Slightly liberal",0,"Female"
1984,33,12,"$8000 to 9999","Not str republican","Conservative",0,"Female"
1984,27,16,"$25000 or more","Ind,near rep","Moderate",0,"Male"
1984,22,15,"Lt $1000","Strong democrat","Liberal",1,"Female"
1984,23,16,"$6000 to 6999","Independent","Liberal",1,"Male"
1984,21,14,"$3000 to 3999","Not str democrat","Slightly liberal",1,"Male"
1984,65,6,"$8000 to 9999","Ind,near dem","Slghtly conservative",0,"Male"
1984,81,12,"$8000 to 9999","Strong democrat","Moderate",0,"Female"
1984,26,9,"$8000 to 9999","Ind,near rep","Moderate",0,"Male"
1984,54,12,"$25000 or more","Not str democrat","Conservative",1,"Male"
1984,67,6,"$10000 - 14999","Ind,near rep","Moderate",0,"Male"
1984,28,13,"$15000 - 19999","Ind,near rep","Moderate",0,"Male"
1984,55,9,"$15000 - 19999","Not str democrat","Slghtly conservative",0,"Male"
1984,31,12,"$15000 - 19999","Not str democrat","Moderate",0,"Female"
1984,40,9,"$1000 to 2999","Ind,near dem","Moderate",0,"Male"
1984,63,10,"$10000 - 14999","Not str democrat","Moderate",0,"Female"
1984,33,12,"$25000 or more","Independent","Moderate",0,"Female"
1984,71,6,"$20000 - 24999","Not str republican","Conservative",0,"Female"
1984,60,12,"$15000 - 19999","Ind,near dem","Moderate",0,"Male"
1984,40,7,"$5000 to 5999","Strong democrat","Moderate",0,"Male"
1984,38,9,"$15000 - 19999","Not str republican","Slightly liberal",0,"Male"
1984,74,1,"$1000 to 2999","Not str democrat","Extrmly conservative",0,"Female"
1984,39,7,"$3000 to 3999","Ind,near dem","Conservative",1,"Male"
1984,20,12,"$25000 or more","Not str democrat","Slghtly conservative",0,"Male"
1984,59,12,"$25000 or more","Not str democrat","Liberal",0,"Male"
1984,46,3,"$15000 - 19999","Not str republican","Moderate",0,"Male"
1984,62,7,"$3000 to 3999","Strong republican","Slghtly conservative",0,"Female"
1984,56,8,"$1000 to 2999","Ind,near dem","Moderate",0,"Female"
1984,26,12,"$10000 - 14999","Strong democrat","Slghtly conservative",1,"Male"
1984,24,11,"$15000 - 19999","Not str democrat","Moderate",1,"Male"
1984,40,10,"$20000 - 24999","Strong democrat","Liberal",1,"Male"
1984,32,8,"$15000 - 19999","Not str democrat","Moderate",0,"Male"
1984,41,14,"$25000 or more","Not str democrat","Conservative",0,"Male"
1984,39,14,"$10000 - 14999","Not str democrat","Liberal",1,"Male"
1984,46,12,"$25000 or more","Ind,near rep","Slightly liberal",1,"Male"
1984,28,12,"$25000 or more","Strong republican","Moderate",0,"Male"
1984,65,12,"$15000 - 19999","Not str democrat","Moderate",1,"Male"
1984,34,17,"$25000 or more","Not str republican","Conservative",1,"Male"
1984,27,12,"$25000 or more","Other party","Liberal",1,"Male"
1984,38,13,"$15000 - 19999","Not str democrat","Slightly liberal",0,"Female"
1984,27,12,"$15000 - 19999","Not str democrat","Slightly liberal",1,"Male"
1984,41,12,"$25000 or more","Not str democrat","Liberal",0,"Male"
1984,24,17,"$8000 to 9999","Not str democrat","Slghtly conservative",0,"Male"
1984,62,4,"$8000 to 9999","Strong democrat","Slghtly conservative",0,"Male"
1984,71,8,"$20000 - 24999","Not str democrat","Moderate",0,"Male"
1984,33,12,"$25000 or more","Strong democrat","Slghtly conservative",0,"Male"
1984,21,14,"$25000 or more","Not str republican","Moderate",0,"Male"
1984,29,12,"$8000 to 9999","Ind,near rep","Slightly liberal",0,"Female"
1984,52,20,"$25000 or more","Strong democrat","Slightly liberal",0,"Male"
1984,55,12,"$25000 or more","Ind,near dem","Liberal",0,"Male"
1984,20,12,"$1000 to 2999","Independent","Slghtly conservative",0,"Female"
1984,33,12,"$5000 to 5999","Other party","Moderate",0,"Female"
1984,27,11,"$15000 - 19999","Not str republican","Conservative",0,"Male"
1984,62,11,"$25000 or more","Strong republican","Conservative",0,"Male"
1984,54,10,"$15000 - 19999","Strong democrat","Slghtly conservative",0,"Male"
1984,19,11,"$3000 to 3999","Ind,near dem","Slightly liberal",0,"Female"
1984,52,7,"$3000 to 3999","Not str republican","Moderate",0,"Male"
1984,23,11,"$4000 to 4999","Not str democrat","Moderate",0,"Female"
1984,35,15,"$25000 or more","Not str democrat","Moderate",0,"Male"
1984,47,12,"$25000 or more","Ind,near rep","Moderate",0,"Male"
1984,26,12,"$4000 to 4999","Ind,near rep","Moderate",1,"Male"
1984,46,12,"$25000 or more","Not str democrat","Moderate",0,"Male"
1984,39,13,"$25000 or more","Strong democrat","Liberal",1,"Male"
1984,41,12,"$25000 or more","Independent","Moderate",1,"Male"
1984,24,13,"$20000 - 24999","Ind,near rep","Slightly liberal",0,"Male"
1984,41,14,"$25000 or more","Ind,near dem","Slghtly conservative",0,"Male"
1984,77,12,"$15000 - 19999","Strong democrat","Moderate",0,"Male"
1984,57,12,"$25000 or more","Strong democrat","Moderate",0,"Male"
1984,81,12,"$10000 - 14999","Strong republican","Moderate",0,"Male"
1984,37,12,"$8000 to 9999","Ind,near dem","Slightly liberal",0,"Male"
1984,34,19,"$25000 or more","Not str democrat","Slghtly conservative",0,"Male"
1984,67,12,"Refused","Strong republican","Liberal",0,"Male"
1984,46,12,"Lt $1000","Not str republican","Moderate",0,"Male"
1986,28,14,"$20000 - 24999","Independent","Moderate",0,"Male"
1986,54,16,"$25000 or more","Strong republican","Conservative",1,"Female"
1986,44,16,"$25000 or more","Strong democrat","Liberal",0,"Female"
1986,77,14,"Refused","Strong democrat","Moderate",0,"Female"
1986,47,10,"$5000 to 5999","Not str democrat","Extremely liberal",0,"Male"
1986,19,10,"$10000 - 14999","Not str republican","Moderate",0,"Female"
1986,36,18,"$8000 to 9999","Not str democrat","Liberal",0,"Male"
1986,27,17,"$8000 to 9999","Not str democrat","Liberal",1,"Female"
1986,51,18,"$20000 - 24999","Ind,near rep","Slghtly conservative",0,"Male"
1986,24,12,"$25000 or more","Not str democrat","Moderate",0,"Male"
1986,25,11,"$10000 - 14999","Strong democrat","Extremely liberal",1,"Female"
1986,36,6,"$8000 to 9999","Strong democrat","Extremely liberal",0,"Male"
1986,66,8,"$7000 to 7999","Not str democrat","Conservative",0,"Female"
1986,63,10,"$4000 to 4999","Not str democrat","Slightly liberal",0,"Male"
1986,36,11,"$25000 or more","Not str democrat","Slightly liberal",0,"Female"
1986,45,12,"Refused","Not str democrat","Moderate",0,"Female"
1986,35,14,"$25000 or more","Not str democrat","Slghtly conservative",0,"Male"
1986,37,16,"Refused","Strong democrat","Moderate",1,"Female"
1986,27,16,"$25000 or more","Not str republican","Conservative",0,"Male"
1986,67,12,"$10000 - 14999","Not str republican","Moderate",0,"Male"
1986,52,11,"$25000 or more","Strong democrat","Conservative",0,"Male"
1986,20,14,"$25000 or more","Not str republican","Moderate",0,"Male"
1986,29,12,"$20000 - 24999","Not str democrat","Moderate",0,"Male"
1986,30,16,"$20000 - 24999","Ind,near rep","Slghtly conservative",1,"Female"
1986,34,12,"$25000 or more","Not str republican","Slightly liberal",0,"Male"
1986,46,14,"$25000 or more","Not str democrat","Conservative",0,"Male"
1986,36,13,"$5000 to 5999","Strong democrat","Moderate",0,"Female"
1986,22,12,"$25000 or more","Not str democrat","Slghtly conservative",0,"Male"
1986,22,15,"$25000 or more","Strong republican","Slightly liberal",0,"Female"
1986,57,12,"$25000 or more","Not str republican","Moderate",0,"Male"
1986,40,18,"$25000 or more","Independent","Slghtly conservative",0,"Male"
1986,58,12,"$25000 or more","Independent","Moderate",0,"Female"
1986,27,18,"$25000 or more","Ind,near rep","Conservative",1,"Male"
1986,34,14,"$25000 or more","Independent","Liberal",1,"Male"
1986,70,12,"Refused","Strong republican","Extrmly conservative",0,"Female"
1986,30,16,"$15000 - 19999","Not str republican","Slightly liberal",0,"Female"
1986,24,12,"$25000 or more","Independent","Moderate",0,"Female"
1986,38,14,"$25000 or more","Strong democrat","Slightly liberal",1,"Male"
1986,69,10,"$10000 - 14999","Independent","Liberal",0,"Female"
1986,42,16,"$25000 or more","Strong democrat","Slightly liberal",1,"Male"
1986,22,12,"$20000 - 24999","Ind,near dem","Moderate",0,"Male"
1986,26,11,"$25000 or more","Independent","Moderate",0,"Male"
1986,28,15,"$25000 or more","Not str republican","Slightly liberal",1,"Female"
1986,49,10,"$20000 - 24999","Not str democrat","Conservative",0,"Male"
1986,67,11,"$8000 to 9999","Ind,near dem","Slghtly conservative",0,"Female"
1986,49,6,"$25000 or more","Ind,near dem","Moderate",1,"Male"
1986,63,14,"$25000 or more","Not str republican","Moderate",1,"Male"
1986,34,13,"$25000 or more","Not str democrat","Liberal",0,"Male"
1986,64,12,"$15000 - 19999","Strong democrat","Moderate",0,"Female"
1986,31,20,"$25000 or more","Not str democrat","Slightly liberal",0,"Male"
1986,22,15,"$7000 to 7999","Strong democrat","Slightly liberal",1,"Male"
1986,46,12,"$25000 or more","Not str democrat","Moderate",0,"Male"
1986,74,12,"$8000 to 9999","Strong democrat","Conservative",1,"Male"
1986,41,12,"$25000 or more","Ind,near dem","Slghtly conservative",0,"Male"
1986,27,15,"$25000 or more","Strong democrat","Slightly liberal",0,"Female"
1986,30,16,"$25000 or more","Ind,near rep","Conservative",0,"Male"
1986,23,17,"$25000 or more","Not str republican","Moderate",0,"Male"
1986,29,17,"$20000 - 24999","Ind,near rep","Slghtly conservative",0,"Male"
1986,44,16,"$25000 or more","Independent","Moderate",0,"Female"
1986,70,7,"$6000 to 6999","Not str democrat","Conservative",0,"Male"
1986,23,13,"$25000 or more","Not str republican","Moderate",1,"Male"
1986,48,12,"$25000 or more","Strong republican","Moderate",0,"Male"
1986,44,18,"$25000 or more","Ind,near dem","Slightly liberal",1,"Male"
1986,46,17,"$25000 or more","Strong democrat","Slightly liberal",0,"Male"
1986,42,16,"$20000 - 24999","Not str democrat","Liberal",0,"Female"
1986,60,16,"$25000 or more","Strong republican","Moderate",0,"Male"
1986,44,18,"$25000 or more","Independent","Moderate",0,"Male"
1986,40,12,"$20000 - 24999","Strong republican","Moderate",0,"Male"
1986,27,13,"$25000 or more","Independent","Moderate",1,"Male"
1986,26,19,"$25000 or more","Not str democrat","Moderate",0,"Male"
1986,49,13,"$20000 - 24999","Not str democrat","Moderate",0,"Female"
1986,29,12,"$25000 or more","Ind,near rep","Moderate",1,"Male"
1986,62,6,"$25000 or more","Ind,near rep","Moderate",0,"Male"
1986,37,10,"$25000 or more","Ind,near dem","Liberal",0,"Male"
1986,41,12,"$25000 or more","Not str democrat","Moderate",0,"Male"
1986,77,12,"$25000 or more","Strong republican","Moderate",0,"Male"
1986,61,11,"$25000 or more","Not str democrat","Moderate",0,"Male"
1986,45,13,"$25000 or more","Ind,near dem","Moderate",0,"Female"
1986,72,9,"$10000 - 14999","Strong republican","Conservative",1,"Male"
1986,29,12,"$7000 to 7999","Ind,near dem","Slightly liberal",0,"Female"
1986,32,12,"$25000 or more","Independent","Moderate",0,"Male"
1986,51,12,"$25000 or more","Strong democrat","Moderate",0,"Male"
1986,26,12,"$25000 or more","Ind,near rep","Moderate",0,"Male"
1986,33,14,"$25000 or more","Not str democrat","Moderate",0,"Male"
1986,68,10,"$20000 - 24999","Strong republican","Conservative",1,"Male"
1986,44,12,"$25000 or more","Ind,near rep","Conservative",0,"Male"
1986,35,16,"$10000 - 14999","Not str democrat","Liberal",1,"Male"
1986,32,12,"$10000 - 14999","Ind,near dem","Slightly liberal",0,"Male"
1986,66,8,"$7000 to 7999","Independent","Slghtly conservative",0,"Male"
1986,71,5,"$5000 to 5999","Strong democrat","Extrmly conservative",0,"Female"
1986,46,5,"$25000 or more","Strong democrat","Conservative",0,"Male"
1986,47,10,"$1000 to 2999","Independent","Moderate",1,"Female"
1986,31,17,"$15000 - 19999","Ind,near rep","Moderate",0,"Male"
1986,51,11,"$5000 to 5999","Strong democrat","Moderate",0,"Male"
1986,46,12,"$3000 to 3999","Not str republican","Moderate",0,"Female"
1986,73,8,"$4000 to 4999","Ind,near dem","Moderate",0,"Female"
1986,67,9,"$3000 to 3999","Not str democrat","Moderate",0,"Female"
1986,44,12,"$4000 to 4999","Independent","Moderate",0,"Female"
1986,52,16,"$25000 or more","Independent","Slghtly conservative",1,"Male"
1986,39,16,"$25000 or more","Ind,near dem","Slghtly conservative",1,"Male"
1986,42,20,"$25000 or more","Not str democrat","Moderate",0,"Male"
1986,42,17,"$25000 or more","Ind,near rep","Slightly liberal",0,"Male"
1986,43,17,"$25000 or more","Strong republican","Conservative",0,"Male"
1986,54,12,"$25000 or more","Ind,near dem","Moderate",0,"Male"
1986,37,12,"$25000 or more","Other party","Moderate",1,"Male"
1986,40,12,"$15000 - 19999","Strong democrat","Slghtly conservative",0,"Female"
1986,30,16,"$25000 or more","Not str republican","Slghtly conservative",1,"Male"
1986,29,15,"$25000 or more","Not str republican","Moderate",0,"Female"
1986,45,13,"$25000 or more","Independent","Slightly liberal",0,"Male"
1986,21,12,"$25000 or more","Independent","Moderate",0,"Male"
1986,27,12,"$25000 or more","Independent","Moderate",0,"Male"
1986,43,10,"$25000 or more","Ind,near dem","Slightly liberal",0,"Male"
1986,42,12,"$25000 or more","Not str republican","Conservative",0,"Male"
1986,43,17,"$25000 or more","Not str democrat","Slightly liberal",0,"Male"
1986,30,16,"$25000 or more","Not str republican","Slghtly conservative",0,"Male"
1986,34,14,"$25000 or more","Ind,near rep","Slightly liberal",0,"Male"
1986,38,16,"$25000 or more","Strong republican","Conservative",1,"Male"
1986,36,16,"$25000 or more","Not str republican","Slghtly conservative",0,"Male"
1986,60,12,"$8000 to 9999","Strong republican","Liberal",0,"Female"
1986,77,16,"$8000 to 9999","Ind,near rep","Conservative",0,"Female"
1986,43,17,"$25000 or more","Strong democrat","Moderate",1,"Male"
1986,36,12,"$25000 or more","Strong democrat","Moderate",0,"Female"
1986,63,3,"$6000 to 6999","Ind,near rep","Slightly liberal",1,"Male"
1986,35,12,"$20000 - 24999","Strong democrat","Moderate",0,"Male"
1986,24,16,"$15000 - 19999","Not str democrat","Slightly liberal",0,"Female"
1986,63,12,"$25000 or more","Ind,near rep","Moderate",0,"Male"
1986,76,10,"$10000 - 14999","Strong republican","Liberal",0,"Male"
1986,42,16,"$25000 or more","Not str republican","Conservative",0,"Male"
1986,76,16,"$7000 to 7999","Independent","Conservative",0,"Male"
1986,56,18,"$25000 or more","Ind,near rep","Moderate",1,"Male"
1986,74,10,"$25000 or more","Strong republican","Conservative",0,"Female"
1986,63,16,"Refused","Not str republican","Moderate",0,"Female"
1986,50,20,"$25000 or more","Not str republican","Slghtly conservative",0,"Male"
1986,64,13,"$20000 - 24999","Strong republican","Moderate",0,"Male"
1986,47,20,"$25000 or more","Ind,near dem","Moderate",1,"Male"
1986,54,12,"$25000 or more","Not str democrat","Moderate",0,"Male"
1986,42,16,"$25000 or more","Not str republican","Slghtly conservative",0,"Male"
1986,35,12,"$20000 - 24999","Ind,near dem","Moderate",1,"Male"
1986,20,13,"$25000 or more","Not str republican","Slghtly conservative",0,"Male"
1986,27,12,"$25000 or more","Ind,near rep","Slightly liberal",0,"Male"
1986,54,12,"$25000 or more","Strong republican","Extrmly conservative",0,"Male"
1986,39,12,"$15000 - 19999","Not str republican","Moderate",0,"Female"
1986,44,17,"$25000 or more","Ind,near dem","Slightly liberal",0,"Female"
1986,32,12,"$15000 - 19999","Not str democrat","Moderate",0,"Male"
1986,42,12,"$25000 or more","Independent","Moderate",0,"Male"
1986,70,12,"$25000 or more","Strong republican","Moderate",0,"Female"
1986,54,16,"$25000 or more","Ind,near dem","Moderate",0,"Female"
1986,24,15,"$10000 - 14999","Not str democrat","Slghtly conservative",0,"Male"
1986,40,9,"$5000 to 5999","Ind,near dem","Moderate",0,"Female"
1986,26,14,"$25000 or more","Strong democrat","Slightly liberal",0,"Male"
1986,25,11,"$25000 or more","Not str democrat","Extrmly conservative",1,"Female"
1986,32,12,"$25000 or more","Strong democrat","Liberal",0,"Male"
1986,39,14,"$25000 or more","Not str democrat","Slightly liberal",0,"Male"
1986,37,12,"$15000 - 19999","Strong democrat","Slightly liberal",0,"Female"
1986,66,11,"$15000 - 19999","Strong democrat","Liberal",1,"Female"
1986,51,12,"$20000 - 24999","Strong democrat","Moderate",0,"Female"
1986,38,12,"$20000 - 24999","Ind,near rep","Slghtly conservative",0,"Female"
1986,27,13,"$25000 or more","Strong democrat","Slightly liberal",0,"Female"
1986,63,13,"$25000 or more","Independent","Moderate",1,"Male"
1986,66,14,"$3000 to 3999","Strong democrat","Moderate",1,"Female"
1986,37,12,"$25000 or more","Independent","Moderate",0,"Male"
1986,28,16,"$15000 - 19999","Not str democrat","Extremely liberal",1,"Female"
1986,36,16,"$25000 or more","Not str republican","Conservative",0,"Male"
1986,83,8,"$20000 - 24999","Strong republican","Moderate",0,"Female"
1986,24,15,"$25000 or more","Strong republican","Moderate",0,"Male"
1986,62,14,"$25000 or more","Ind,near rep","Conservative",0,"Male"
1986,46,12,"$25000 or more","Ind,near dem","Moderate",0,"Male"
1986,22,16,"$10000 - 14999","Ind,near dem","Liberal",0,"Male"
1986,81,8,"$20000 - 24999","Strong democrat","Moderate",0,"Male"
1986,39,14,"$8000 to 9999","Ind,near rep","Moderate",0,"Female"
1986,40,16,"$25000 or more","Not str democrat","Moderate",0,"Male"
1986,44,18,"$25000 or more","Strong democrat","Slghtly conservative",0,"Male"
1986,39,16,"$25000 or more","Not str democrat","Liberal",1,"Male"
1986,45,14,"$7000 to 7999","Not str democrat","Slightly liberal",0,"Male"
1986,31,13,"$7000 to 7999","Strong democrat","Slightly liberal",1,"Male"
1986,58,13,"$25000 or more","Not str republican","Moderate",0,"Male"
1986,32,11,"$25000 or more","Ind,near dem","Conservative",1,"Female"
1986,51,14,"$25000 or more","Not str republican","Slghtly conservative",1,"Male"
1986,35,14,"$25000 or more","Strong republican","Conservative",0,"Male"
1986,25,12,"$25000 or more","Not str republican","Slghtly conservative",0,"Male"
1986,36,16,"$25000 or more","Ind,near dem","Slightly liberal",1,"Male"
1986,65,12,"$25000 or more","Not str democrat","Conservative",1,"Female"
1986,63,10,"$8000 to 9999","Not str democrat","Slghtly conservative",1,"Male"
1986,48,11,"$25000 or more","Strong republican","Conservative",0,"Male"
1986,62,15,"$25000 or more","Not str democrat","Moderate",0,"Male"
1986,24,12,"$25000 or more","Not str republican","Conservative",1,"Male"
1986,31,12,"$15000 - 19999","Independent","Moderate",0,"Male"
1986,46,8,"$4000 to 4999","Independent","Slightly liberal",0,"Female"
1986,40,14,"$25000 or more","Independent","Slightly liberal",0,"Male"
1986,19,12,"$25000 or more","Strong democrat","Extremely liberal",0,"Male"
1986,25,16,"$10000 - 14999","Not str republican","Moderate",0,"Female"
1986,27,16,"$25000 or more","Ind,near dem","Slightly liberal",0,"Male"
1986,22,12,"$15000 - 19999","Not str democrat","Moderate",0,"Male"
1986,58,19,"$25000 or more","Ind,near dem","Moderate",0,"Male"
1986,61,18,"$25000 or more","Not str democrat","Moderate",1,"Female"
1986,33,12,"$25000 or more","Not str democrat","Slghtly conservative",0,"Male"
1986,29,13,"$10000 - 14999","Independent","Slghtly conservative",0,"Male"
1986,60,12,"$25000 or more","Not str democrat","Moderate",0,"Male"
1986,39,16,"$25000 or more","Ind,near dem","Liberal",1,"Male"
1986,32,18,"$20000 - 24999","Not str democrat","Moderate",0,"Male"
1986,27,12,"$15000 - 19999","Not str democrat","Moderate",1,"Female"
1986,26,17,"$15000 - 19999","Not str republican","Liberal",0,"Male"
1986,34,13,"$7000 to 7999","Ind,near dem","Extremely liberal",1,"Female"
1986,32,11,"$10000 - 14999","Not str democrat","Moderate",0,"Female"
1986,63,15,"$25000 or more","Ind,near rep","Moderate",0,"Male"
1986,75,12,"$25000 or more","Not str republican","Slghtly conservative",0,"Male"
1986,64,8,"Refused","Strong republican","Extrmly conservative",0,"Male"
1986,57,17,"$25000 or more","Independent","Moderate",0,"Male"
1986,63,20,"$25000 or more","Strong republican","Conservative",0,"Male"
1986,41,15,"$25000 or more","Ind,near rep","Moderate",0,"Male"
1986,50,12,"$25000 or more","Not str republican","Conservative",0,"Male"
1986,58,14,"Refused","Strong republican","Extrmly conservative",0,"Male"
1986,30,12,"$25000 or more","Strong democrat","Slghtly conservative",0,"Male"
1986,21,12,"$25000 or more","Not str republican","Moderate",1,"Male"
1986,70,15,"$25000 or more","Ind,near rep","Slghtly conservative",0,"Male"
1986,52,12,"$25000 or more","Not str democrat","Moderate",0,"Male"
1986,51,12,"$10000 - 14999","Not str republican","Liberal",0,"Female"
1986,26,11,"$15000 - 19999","Strong republican","Conservative",0,"Male"
1986,36,12,"$25000 or more","Not str republican","Slightly liberal",0,"Male"
1986,29,11,"Lt $1000","Ind,near rep","Slightly liberal",0,"Male"
1986,54,10,"$25000 or more","Not str democrat","Conservative",0,"Male"
1986,28,12,"$25000 or more","Not str republican","Extrmly conservative",0,"Male"
1986,41,19,"$25000 or more","Independent","Slghtly conservative",1,"Male"
1986,34,14,"$25000 or more","Not str democrat","Slightly liberal",0,"Male"
1986,33,12,"Refused","Ind,near dem","Slghtly conservative",1,"Male"
1986,32,14,"$25000 or more","Strong republican","Extrmly conservative",0,"Male"
1986,35,16,"$7000 to 7999","Not str democrat","Slightly liberal",0,"Male"
1986,70,16,"$10000 - 14999","Not str democrat","Moderate",0,"Female"
1986,50,16,"$25000 or more","Ind,near dem","Moderate",0,"Male"
1986,28,18,"$25000 or more","Not str republican","Slghtly conservative",0,"Male"
1986,43,15,"$25000 or more","Not str democrat","Slghtly conservative",1,"Male"
1986,34,20,"$20000 - 24999","Strong democrat","Liberal",1,"Male"
1986,31,16,"$25000 or more","Ind,near rep","Moderate",1,"Female"
1986,31,12,"$25000 or more","Not str democrat","Liberal",1,"Male"
1986,30,10,"$25000 or more","Independent","Conservative",0,"Male"
1986,29,13,"$4000 to 4999","Not str democrat","Liberal",1,"Male"
1986,33,12,"$15000 - 19999","Ind,near dem","Slightly liberal",1,"Female"
1986,37,12,"$15000 - 19999","Ind,near dem","Moderate",0,"Female"
1986,36,13,"$25000 or more","Strong democrat","Moderate",0,"Male"
1986,34,16,"$25000 or more","Ind,near dem","Slightly liberal",1,"Male"
1986,48,18,"$25000 or more","Strong democrat","Liberal",1,"Male"
1986,70,12,"$4000 to 4999","Strong democrat","Moderate",0,"Female"
1986,21,12,"$25000 or more","Ind,near rep","Moderate",0,"Male"
1986,20,12,"$20000 - 24999","Ind,near dem","Extremely liberal",1,"Male"
1986,33,9,"$15000 - 19999","Not str democrat","Moderate",0,"Female"
1986,53,7,"$25000 or more","Strong democrat","Liberal",0,"Male"
1986,43,12,"$25000 or more","Not str democrat","Moderate",0,"Female"
1986,71,6,"$4000 to 4999","Strong democrat","Slghtly conservative",1,"Female"
1986,65,12,"$15000 - 19999","Ind,near rep","Conservative",0,"Male"
1986,47,12,"$20000 - 24999","Strong democrat","Conservative",0,"Male"
1986,51,2,"$4000 to 4999","Not str republican","Slightly liberal",0,"Male"
1986,54,10,"$15000 - 19999","Strong republican","Conservative",0,"Male"
1986,50,10,"$25000 or more","Strong democrat","Moderate",0,"Male"
1986,66,13,"$8000 to 9999","Not str republican","Moderate",0,"Female"
1986,70,8,"$7000 to 7999","Not str democrat","Moderate",0,"Female"
1986,73,10,"$4000 to 4999","Strong democrat","Moderate",0,"Female"
1986,56,6,"$1000 to 2999","Strong democrat","Liberal",1,"Male"
1986,43,18,"Refused","Ind,near rep","Slghtly conservative",0,"Male"
1986,35,15,"$25000 or more","Ind,near rep","Slghtly conservative",0,"Male"
1986,74,16,"$25000 or more","Strong republican","Moderate",0,"Male"
1986,29,16,"$25000 or more","Strong republican","Conservative",0,"Male"
1986,34,13,"$25000 or more","Strong democrat","Moderate",0,"Male"
1986,36,12,"$25000 or more","Not str democrat","Moderate",0,"Male"
1986,80,17,"$20000 - 24999","Strong republican","Conservative",0,"Female"
1986,22,15,"$25000 or more","Not str republican","Moderate",0,"Male"
1986,78,16,"$20000 - 24999","Ind,near dem","Liberal",1,"Female"
1986,45,16,"$25000 or more","Not str republican","Moderate",0,"Male"
1986,39,16,"Refused","Strong republican","Conservative",0,"Male"
1986,38,20,"Refused","Not str republican","Conservative",0,"Male"
1986,39,18,"$25000 or more","Not str democrat","Slghtly conservative",0,"Male"
1986,60,7,"$10000 - 14999","Not str democrat","Extrmly conservative",0,"Male"
1986,42,12,"$20000 - 24999","Strong democrat","Slghtly conservative",0,"Male"
1986,66,7,"$15000 - 19999","Strong democrat","Liberal",0,"Male"
1986,33,12,"$25000 or more","Not str democrat","Liberal",0,"Male"
1986,48,12,"$25000 or more","Ind,near dem","Moderate",0,"Male"
1986,40,18,"$25000 or more","Strong democrat","Slightly liberal",0,"Male"
1986,63,12,"$25000 or more","Strong democrat","Moderate",1,"Male"
1986,66,12,"Refused","Strong democrat","Liberal",1,"Male"
1986,59,12,"$25000 or more","Strong democrat","Moderate",0,"Male"
1986,66,16,"$25000 or more","Not str democrat","Slghtly conservative",0,"Male"
1986,57,16,"$25000 or more","Not str democrat","Moderate",1,"Female"
1986,62,13,"$25000 or more","Not str democrat","Moderate",0,"Male"
1986,41,12,"$25000 or more","Not str democrat","Slghtly conservative",0,"Female"
1986,32,13,"$15000 - 19999","Strong democrat","Moderate",1,"Female"
1986,45,13,"$10000 - 14999","Strong democrat","Liberal",0,"Male"
1986,22,13,"$3000 to 3999","Strong democrat","Conservative",0,"Female"
1986,56,11,"$6000 to 6999","Not str democrat","Extremely liberal",0,"Female"
1986,29,16,"$20000 - 24999","Ind,near rep","Slghtly conservative",0,"Female"
1986,62,12,"$4000 to 4999","Ind,near rep","Moderate",0,"Male"
1986,51,12,"$15000 - 19999","Not str democrat","Moderate",0,"Male"
1986,40,16,"$15000 - 19999","Independent","Slightly liberal",0,"Male"
1986,61,12,"$10000 - 14999","Strong republican","Moderate",1,"Female"
1986,36,13,"$3000 to 3999","Strong democrat","Slightly liberal",0,"Female"
1986,33,15,"$25000 or more","Not str democrat","Moderate",1,"Male"
1986,76,12,"$10000 - 14999","Strong democrat","Moderate",0,"Male"
1986,67,12,"$1000 to 2999","Strong democrat","Extremely liberal",1,"Female"
1986,34,14,"$6000 to 6999","Not str democrat","Slghtly conservative",0,"Female"
1986,38,11,"$10000 - 14999","Independent","Moderate",1,"Female"
1986,20,11,"$4000 to 4999","Ind,near dem","Liberal",1,"Male"
1986,45,12,"$15000 - 19999","Independent","Moderate",0,"Male"
1986,22,12,"$10000 - 14999","Strong republican","Extrmly conservative",1,"Female"
1986,20,13,"$7000 to 7999","Not str democrat","Slightly liberal",0,"Female"
1986,22,15,"$5000 to 5999","Not str republican","Moderate",0,"Female"
1986,25,14,"$7000 to 7999","Not str democrat","Slightly liberal",1,"Male"
1986,82,7,"$7000 to 7999","Ind,near rep","Slightly liberal",0,"Male"
1986,29,12,"$8000 to 9999","Independent","Moderate",0,"Male"
1986,43,12,"$25000 or more","Not str democrat","Slightly liberal",0,"Male"
1986,41,12,"$25000 or more","Not str republican","Conservative",0,"Male"
1986,33,14,"$25000 or more","Not str republican","Conservative",0,"Male"
1986,28,12,"$15000 - 19999","Not str democrat","Liberal",1,"Male"
1986,72,12,"Refused","Strong democrat","Moderate",0,"Male"
1986,33,13,"$20000 - 24999","Strong democrat","Moderate",0,"Male"
